stock,top5_buyers,top5_sellers,net_volume,daily_summary
BNII,"• AZ | 14.4k | 280.03mio | Avg: 197 | Retail
• SQ | 5.9k | 127.91mio | Avg: 214 | Bandar
• YP | 4.9k | 116.77mio | Avg: 212 | Mix
• AO | 3.0k | 63.00mio | Avg: 210 | Bandar
• LS | 2.0k | 41.82mio | Avg: 204 | Retail","• EP | 10.1k | 211.99mio | Avg: 209 | Mix
• PD | 7.8k | 162.76mio | Avg: 209 | Mix
• XC | 7.1k | 143.96mio | Avg: 204 | Retail
• XL | 3.9k | 70.69mio | Avg: 196 | Retail
• ZP | 3.2k | 69.02mio | Avg: 210 | Bandar",-1770,"Buyer: Retail 54%, Seller: Mix 56%"
BPII,"• YJ | 557 | 28.91mio | Avg: 519 | Retail
• XL | 184 | 13.33mio | Avg: 613 | Retail
• CC | 189 | 8.12mio | Avg: 520 | Mix
• QA | 24 | 1.33mio | Avg: 555 | Bandar
• YB | 4 | 204.00k | Avg: 510 | Retail",• XC | 78 | 4.06mio | Avg: 521 | Retail,880,"Buyer: Retail 78%, Seller: Retail 100%"
BRNA,• YU | 166 | 11.49mio | Avg: 692 | Bandar,"• ES | 200 | 14.80mio | Avg: 740 | Mix
• CC | 10 | 725.00k | Avg: 725 | Mix
• XL | 8 | 564.00k | Avg: 705 | Retail",-52,"Buyer: Bandar 100%, Seller: Mix 96%"
BTEK,"• MG | 368.3k | 745.05mio | Avg: 20 | Mix
• YB | 333.1k | 619.89mio | Avg: 19 | Retail
• OD | 178.7k | 393.03mio | Avg: 22 | Bandar
• RB | 91.2k | 200.70mio | Avg: 22 | Retail
• YJ | 105.1k | 199.66mio | Avg: 19 | Retail","• XL | 267.9k | 538.87mio | Avg: 20 | Retail
• YP | 211.5k | 416.65mio | Avg: 20 | Mix
• BQ | 179.0k | 387.10mio | Avg: 22 | Bandar
• PI | 150.0k | 285.00mio | Avg: 19 | Retail
• DR | 102.0k | 227.53mio | Avg: 22 | Retail",165890,"Buyer: Retail 49%, Seller: Retail 57%"
BTPN,"• AZ | 788 | 158.40mio | Avg: 2.010 | Retail
• KK | 171 | 36.58mio | Avg: 2.139 | Bandar
• OD | 137 | 29.87mio | Avg: 2.180 | Bandar
• YP | 132 | 27.88mio | Avg: 2.112 | Mix
• PG | 55 | 11.53mio | Avg: 2.095 | Mix","• IF | 737 | 150.79mio | Avg: 2.046 | Mix
• RG | 499 | 100.25mio | Avg: 2.009 | Bandar
• ZP | 180 | 39.24mio | Avg: 2.180 | Bandar
• XL | 104 | 21.72mio | Avg: 2.088 | Retail
• NI | 79 | 16.98mio | Avg: 2.150 | Bandar",-316,"Buyer: Retail 61%, Seller: Bandar 47%"
BULL,"• XL | 515.9k | 26.42bio | Avg: 499 | Retail
• YP | 452.4k | 21.82bio | Avg: 482 | Mix
• AI | 428.0k | 20.07bio | Avg: 469 | Bandar
• KI | 280.1k | 11.78bio | Avg: 421 | Bandar
• LG | 232.7k | 11.45bio | Avg: 492 | Bandar","• MG | 775.0k | 35.94bio | Avg: 464 | Mix
• AK | 456.6k | 22.99bio | Avg: 501 | Bandar
• CC | 334.3k | 17.56bio | Avg: 495 | Mix
• ZP | 327.3k | 16.44bio | Avg: 493 | Bandar
• IN | 329.3k | 13.71bio | Avg: 416 | Bandar",-313310,"Buyer: Bandar 49%, Seller: Bandar 50%"
BUVA,"• XL | 871.0k | 110.36bio | Avg: 1.267 | Retail
• AZ | 207.6k | 26.05bio | Avg: 1.255 | Retail
• ZP | 108.8k | 14.09bio | Avg: 1.289 | Bandar
• CC | 95.4k | 12.00bio | Avg: 1.257 | Mix
• OD | 88.6k | 11.07bio | Avg: 1.249 | Bandar","• AK | 330.9k | 42.14bio | Avg: 1.273 | Bandar
• PD | 295.1k | 36.64bio | Avg: 1.242 | Mix
• AI | 269.4k | 33.13bio | Avg: 1.231 | Bandar
• MG | 134.0k | 17.84bio | Avg: 1.316 | Mix
• HP | 119.3k | 15.01bio | Avg: 1.258 | Bandar",222839,"Buyer: Retail 79%, Seller: Bandar 63%"
CANI,"• CC | 9.6k | 272.29mio | Avg: 285 | Mix
• PC | 10 | 280.00k | Avg: 280 | Bandar","• XL | 8.0k | 224.53mio | Avg: 280 | Retail
• XC | 923 | 28.61mio | Avg: 310 | Retail
• MG | 899 | 25.17mio | Avg: 280 | Mix",-263,"Buyer: Mix 100%, Seller: Retail 91%"
CITA,"• SQ | 6.8k | 3.10bio | Avg: 4.566 | Bandar
• PD | 2.0k | 890.48mio | Avg: 4.466 | Mix
• XL | 1.3k | 593.69mio | Avg: 4.613 | Retail
• CP | 464 | 217.94mio | Avg: 4.682 | Mix
• ZP | 461 | 197.10mio | Avg: 4.324 | Bandar","• CC | 3.7k | 1.69bio | Avg: 4.551 | Mix
• IF | 2.5k | 1.17bio | Avg: 4.605 | Mix
• DH | 1.4k | 670.55mio | Avg: 4.641 | Bandar
• AK | 1.0k | 478.31mio | Avg: 4.699 | Bandar
• YP | 945 | 418.29mio | Avg: 4.518 | Mix",1320,"Buyer: Bandar 66%, Seller: Mix 75%"
CLPI,"• NI | 685 | 107.20mio | Avg: 1.565 | Bandar
• CC | 764 | 104.55mio | Avg: 1.472 | Mix
• GR | 501 | 71.64mio | Avg: 1.430 | Bandar
• YB | 242 | 36.35mio | Avg: 1.502 | Retail
• OD | 89 | 19.47mio | Avg: 1.565 | Bandar","• XL | 2.3k | 332.54mio | Avg: 1.476 | Retail
• SQ | 285 | 44.29mio | Avg: 1.554 | Bandar
• YP | 222 | 35.32mio | Avg: 1.560 | Mix
• ZP | 48 | 6.91mio | Avg: 1.440 | Bandar
• PD | 40 | 6.33mio | Avg: 1.571 | Mix",-567,"Buyer: Bandar 56%, Seller: Retail 79%"
CPRO,"• AK | 409.9k | 2.47bio | Avg: 62 | Bandar
• SQ | 289.8k | 1.91bio | Avg: 66 | Bandar
• YP | 261.1k | 1.67bio | Avg: 64 | Mix
• BK | 269.5k | 1.55bio | Avg: 60 | Bandar
• YJ | 175.2k | 1.16bio | Avg: 66 | Retail","• ZP | 1.4mio | 9.18bio | Avg: 66 | Bandar
• CP | 335.9k | 1.96bio | Avg: 60 | Mix
• YB | 232.0k | 1.47bio | Avg: 63 | Retail
• XL | 149.0k | 768.82mio | Avg: 61 | Retail
• AI | 65.2k | 416.56mio | Avg: 64 | Bandar",-774305,"Buyer: Bandar 69%, Seller: Bandar 67%"
CTBN,"• XL | 141 | 93.05mio | Avg: 6.569 | Retail
• YP | 32 | 18.80mio | Avg: 5.875 | Mix
• OD | 28 | 18.73mio | Avg: 6.688 | Bandar
• PD | 26 | 15.98mio | Avg: 6.110 | Mix","• CC | 100 | 67.21mio | Avg: 6.721 | Mix
• GR | 81 | 56.09mio | Avg: 6.925 | Bandar
• YU | 33 | 22.81mio | Avg: 6.912 | Bandar
• XC | 2 | 1.17mio | Avg: 5.838 | Retail",11,"Buyer: Retail 62%, Seller: Bandar 53%"
DKFT,"• BQ | 42.6k | 3.39bio | Avg: 796 | Bandar
• SQ | 32.0k | 2.66bio | Avg: 830 | Bandar
• BK | 24.0k | 1.89bio | Avg: 788 | Bandar
• DR | 17.8k | 1.31bio | Avg: 788 | Retail
• AZ | 10.2k | 842.01mio | Avg: 823 | Retail","• CC | 30.9k | 2.59bio | Avg: 838 | Mix
• CP | 26.9k | 2.12bio | Avg: 789 | Mix
• ZP | 20.6k | 1.56bio | Avg: 789 | Bandar
• EP | 17.0k | 1.42bio | Avg: 831 | Mix
• XL | 15.6k | 1.09bio | Avg: 769 | Retail",15637,"Buyer: Bandar 78%, Seller: Mix 67%"
DMAS,"• KI | 773.8k | 10.91bio | Avg: 141 | Bandar
• MG | 49.4k | 670.05mio | Avg: 136 | Mix
• GR | 31.2k | 415.20mio | Avg: 133 | Bandar
• AK | 27.1k | 330.24mio | Avg: 132 | Bandar
• AN | 10.0k | 127.00mio | Avg: 127 | Bandar","• XL | 144.2k | 2.04bio | Avg: 140 | Retail
• PD | 121.4k | 1.62bio | Avg: 134 | Mix
• CC | 89.7k | 1.29bio | Avg: 140 | Mix
• KK | 87.8k | 1.19bio | Avg: 136 | Bandar
• DR | 70.4k | 941.44mio | Avg: 134 | Retail",377974,"Buyer: Bandar 94%, Seller: Retail 42%"
DSFI,"• CC | 63.9k | 644.86mio | Avg: 101 | Mix
• KK | 16.2k | 194.28mio | Avg: 112 | Bandar
• XC | 3.6k | 46.80mio | Avg: 110 | Retail
• LG | 2.7k | 31.01mio | Avg: 113 | Bandar
• HP | 3.0k | 27.60mio | Avg: 92 | Bandar","• YP | 18.6k | 208.27mio | Avg: 111 | Mix
• ES | 12.3k | 154.42mio | Avg: 113 | Mix
• NI | 9.9k | 109.01mio | Avg: 110 | Bandar
• XL | 837 | 99.57mio | Avg: 94 | Retail
• YB | 10.6k | 99.30mio | Avg: 94 | Retail",37173,"Buyer: Mix 71%, Seller: Mix 59%"
ESTI,"• XL | 34.1k | 700.59mio | Avg: 192 | Retail
• AK | 33.9k | 628.11mio | Avg: 185 | Bandar
• OD | 5.4k | 100.92mio | Avg: 187 | Bandar
• PD | 3.7k | 72.72mio | Avg: 196 | Mix
• YU | 3.0k | 59.70mio | Avg: 199 | Bandar","• CC | 22.5k | 483.57mio | Avg: 193 | Mix
• IF | 14.0k | 270.20mio | Avg: 193 | Mix
• CP | 11.7k | 232.41mio | Avg: 192 | Mix
• NI | 10.6k | 193.16mio | Avg: 183 | Bandar
• ZP | 5.9k | 132.42mio | Avg: 195 | Bandar",15451,"Buyer: Bandar 53%, Seller: Mix 74%"
EXCL,"• AI | 567.4k | 184.46bio | Avg: 3.251 | Bandar
• SS | 203.4k | 66.50bio | Avg: 3.269 | Bandar
• DP | 142.7k | 46.66bio | Avg: 3.271 | Bandar
• XL | 88.5k | 29.18bio | Avg: 3.295 | Retail
• YP | 61.9k | 20.32bio | Avg: 3.284 | Mix","• YU | 351.4k | 113.71bio | Avg: 3.258 | Bandar
• BB | 330.0k | 108.79bio | Avg: 3.297 | Mix
• PD | 219.2k | 71.79bio | Avg: 3.276 | Mix
• BQ | 165.9k | 53.98bio | Avg: 3.254 | Bandar
• AK | 151.4k | 50.14bio | Avg: 3.313 | Bandar",-153932,"Buyer: Bandar 86%, Seller: Bandar 55%"
HMSP,"• SQ | 235.0k | 18.80bio | Avg: 800 | Bandar
• ZP | 154.8k | 12.25bio | Avg: 792 | Bandar
• YU | 117.3k | 9.43bio | Avg: 804 | Bandar
• AK | 93.7k | 7.09bio | Avg: 757 | Bandar
• RF | 70.4k | 5.78bio | Avg: 819 | Bandar","• YP | 231.2k | 18.03bio | Avg: 780 | Mix
• AZ | 221.1k | 17.54bio | Avg: 793 | Retail
• DX | 91.6k | 7.48bio | Avg: 817 | Bandar
• XL | 84.9k | 6.61bio | Avg: 779 | Retail
• OD | 25.9k | 2.06bio | Avg: 795 | Bandar",16346,"Buyer: Bandar 100%, Seller: Retail 47%"
INAI,"• XL | 16.0k | 409.78mio | Avg: 250 | Retail
• CP | 3.0k | 69.47mio | Avg: 228 | Mix
• AK | 2.9k | 65.22mio | Avg: 227 | Bandar
• KK | 2.8k | 63.13mio | Avg: 228 | Bandar
• YU | 1.0k | 25.00mio | Avg: 250 | Bandar","• OD | 8.5k | 213.12mio | Avg: 250 | Bandar
• XC | 7.5k | 188.03mio | Avg: 250 | Retail
• CC | 6.3k | 144.01mio | Avg: 227 | Mix
• YP | 1.8k | 53.70mio | Avg: 250 | Mix
• YJ | 2.0k | 46.01mio | Avg: 228 | Retail",-575,"Buyer: Retail 62%, Seller: Retail 36%"
INCO,"• CC | 135.4k | 82.98bio | Avg: 6.130 | Mix
• BK | 115.5k | 70.04bio | Avg: 6.097 | Bandar
• YU | 22.0k | 13.53bio | Avg: 6.153 | Bandar
• NI | 17.6k | 10.99bio | Avg: 6.243 | Bandar
• PD | 13.9k | 8.78bio | Avg: 6.304 | Mix","• KZ | 186.4k | 114.93bio | Avg: 6.186 | Mix
• BB | 29.7k | 18.49bio | Avg: 6.214 | Mix
• ZP | 26.5k | 16.51bio | Avg: 6.235 | Bandar
• AK | 19.1k | 11.37bio | Avg: 6.100 | Bandar
• YP | 13.1k | 8.05bio | Avg: 6.155 | Mix",29698,"Buyer: Bandar 51%, Seller: Mix 83%"
INDR,"• ZP | 2.6k | 821.57mio | Avg: 3.120 | Bandar
• SQ | 814 | 245.67mio | Avg: 3.018 | Bandar
• AK | 351 | 110.14mio | Avg: 3.138 | Bandar
• YU | 202 | 56.56mio | Avg: 2.800 | Bandar
• CP | 13 | 2.73mio | Avg: 3.003 | Mix","• PD | 2.0k | 606.94mio | Avg: 3.079 | Mix
• YP | 1.1k | 326.54mio | Avg: 3.048 | Mix
• TP | 359 | 114.88mio | Avg: 3.200 | Bandar
• XL | 261 | 79.09mio | Avg: 3.030 | Retail
• DR | 84 | 24.52mio | Avg: 2.919 | Retail",262,"Buyer: Bandar 100%, Seller: Mix 81%"
INKP,"• DH | 62.7k | 54.52bio | Avg: 8.700 | Bandar
• PP | 24.5k | 21.49bio | Avg: 8.765 | Bandar
• GR | 10.6k | 9.42bio | Avg: 8.916 | Bandar
• CC | 8.6k | 7.87bio | Avg: 9.146 | Mix
• BB | 7.7k | 6.80bio | Avg: 8.798 | Mix","• PD | 62.5k | 54.90bio | Avg: 8.777 | Mix
• YU | 42.1k | 37.47bio | Avg: 8.907 | Bandar
• AK | 10.8k | 10.03bio | Avg: 9.153 | Bandar
• ZP | 8.7k | 7.79bio | Avg: 8.954 | Bandar
• AI | 9.4k | 7.58bio | Avg: 8.068 | Bandar",-19454,"Buyer: Bandar 86%, Seller: Bandar 53%"
INDY,"• YU | 117.0k | 38.81bio | Avg: 3.317 | Bandar
• PD | 80.5k | 26.37bio | Avg: 3.275 | Mix
• AI | 63.5k | 21.12bio | Avg: 3.327 | Bandar
• AZ | 36.9k | 12.04bio | Avg: 3.283 | Retail
• BB | 29.3k | 9.76bio | Avg: 3.330 | Mix","• CC | 136.0k | 45.15bio | Avg: 3.320 | Mix
• AK | 68.2k | 22.45bio | Avg: 3.290 | Bandar
• KZ | 52.6k | 17.21bio | Avg: 3.269 | Mix
• BK | 46.9k | 15.63bio | Avg: 3.333 | Bandar
• ZP | 32.4k | 10.61bio | Avg: 3.283 | Bandar",-8912,"Buyer: Bandar 55%, Seller: Mix 56%"
INTA,"• GR | 5.2k | 71.23mio | Avg: 138 | Bandar
• XC | 4.5k | 67.78mio | Avg: 150 | Retail
• AZ | 5.0k | 62.45mio | Avg: 126 | Retail
• MG | 4.2k | 60.27mio | Avg: 144 | Mix
• ZP | 2.0k | 25.20mio | Avg: 126 | Bandar","• AO | 13.8k | 192.61mio | Avg: 140 | Bandar
• XL | 5.8k | 93.53mio | Avg: 149 | Retail
• DH | 2.6k | 39.96mio | Avg: 154 | Bandar
• PD | 2.6k | 39.95mio | Avg: 154 | Mix
• OD | 1.2k | 15.81mio | Avg: 140 | Bandar",-5099,"Buyer: Retail 46%, Seller: Bandar 68%"
ITMA,"• TS | 34.4k | 7.50bio | Avg: 2.181 | Bandar
• II | 10.4k | 2.21bio | Avg: 2.130 | Mix
• MG | 700 | 140.49mio | Avg: 2.007 | Mix
• AG | 389 | 81.69mio | Avg: 2.100 | Bandar
• NI | 192 | 40.65mio | Avg: 2.117 | Bandar","• HD | 23.1k | 4.74bio | Avg: 2.051 | Bandar
• AK | 9.8k | 2.12bio | Avg: 2.168 | Bandar
• CC | 4.0k | 850.34mio | Avg: 2.140 | Mix
• LG | 4.0k | 800.00mio | Avg: 2.000 | Bandar
• ZP | 3.6k | 782.75mio | Avg: 2.159 | Bandar",1493,"Buyer: Bandar 76%, Seller: Bandar 91%"
JPFA,"• ZP | 193.8k | 50.24bio | Avg: 2.592 | Bandar
• BB | 65.0k | 17.98bio | Avg: 2.767 | Mix
• BK | 45.9k | 12.04bio | Avg: 2.622 | Bandar
• CC | 36.8k | 9.30bio | Avg: 2.550 | Mix
• LG | 31.6k | 8.13bio | Avg: 2.571 | Bandar","• KZ | 369.9k | 96.25bio | Avg: 2.602 | Mix
• NI | 16.1k | 4.19bio | Avg: 2.607 | Bandar
• IF | 12.0k | 3.23bio | Avg: 2.694 | Mix
• CP | 10.6k | 2.89bio | Avg: 2.731 | Mix
• DP | 8.7k | 2.26bio | Avg: 2.597 | Bandar",-44060,"Buyer: Bandar 73%, Seller: Mix 94%"
JTPE,"• CC | 14.7k | 828.64mio | Avg: 560 | Mix
• IN | 4.7k | 255.96mio | Avg: 550 | Bandar
• IU | 3.7k | 205.22mio | Avg: 559 | Bandar
• SA | 3.6k | 197.83mio | Avg: 550 | Bandar
• DU | 3.2k | 173.73mio | Avg: 548 | Bandar","• YP | 14.1k | 756.62mio | Avg: 538 | Mix
• IH | 4.3k | 239.07mio | Avg: 561 | Mix
• ZP | 3.8k | 215.53mio | Avg: 562 | Bandar
• PC | 3.0k | 170.94mio | Avg: 561 | Bandar
• LS | 2.8k | 153.54mio | Avg: 557 | Retail",1867,"Buyer: Bandar 51%, Seller: Mix 66%"
KICI,"• XL | 11.7k | 292.80mio | Avg: 251 | Retail
• CC | 8.2k | 208.54mio | Avg: 255 | Mix
• XC | 6.2k | 155.70mio | Avg: 250 | Retail
• AZ | 1.5k | 39.37mio | Avg: 256 | Retail
• LG | 737 | 18.72mio | Avg: 254 | Bandar","• CP | 14.2k | 361.82mio | Avg: 254 | Mix
• MG | 5.6k | 143.69mio | Avg: 255 | Mix
• PC | 2.0k | 50.18mio | Avg: 246 | Bandar
• AO | 1.6k | 35.04mio | Avg: 219 | Bandar
• PD | 1.3k | 34.19mio | Avg: 259 | Mix",3571,"Buyer: Retail 69%, Seller: Mix 85%"
LPCK,"• XL | 14.3k | 1.16bio | Avg: 807 | Retail
• YP | 6.7k | 559.11mio | Avg: 833 | Mix
• DR | 3.4k | 284.00mio | Avg: 845 | Retail
• MG | 2.2k | 170.82mio | Avg: 784 | Mix
• GR | 1.9k | 161.77mio | Avg: 843 | Bandar","• AZ | 3.9k | 376.09mio | Avg: 868 | Retail
• PD | 5.0k | 313.46mio | Avg: 709 | Mix
• ZP | 3.6k | 275.35mio | Avg: 775 | Bandar
• CC | 3.8k | 263.62mio | Avg: 700 | Mix
• SQ | 2.7k | 243.66mio | Avg: 897 | Bandar",9558,"Buyer: Retail 62%, Seller: Mix 46%"
LPPF,"• CC | 97.1k | 17.75bio | Avg: 1.828 | Mix
• AK | 5.0k | 866.59mio | Avg: 1.763 | Bandar
• GR | 2.9k | 510.85mio | Avg: 1.781 | Bandar
• YU | 2.6k | 474.91mio | Avg: 1.828 | Bandar
• HP | 1.5k | 277.28mio | Avg: 1.882 | Bandar","• XL | 34.9k | 6.33bio | Avg: 1.816 | Retail
• ZP | 15.5k | 2.83bio | Avg: 1.825 | Bandar
• XC | 15.4k | 2.82bio | Avg: 1.839 | Retail
• AZ | 8.3k | 1.51bio | Avg: 1.825 | Retail
• SQ | 8.4k | 1.50bio | Avg: 1.793 | Bandar",26692,"Buyer: Mix 89%, Seller: Retail 71%"
MBAP,"• CC | 366 | 57.39mio | Avg: 1.568 | Mix
• SQ | 334 | 55.14mio | Avg: 1.651 | Bandar
• OD | 281 | 45.65mio | Avg: 1.625 | Bandar
• DH | 251 | 40.16mio | Avg: 1.600 | Bandar
• XL | 24 | 9.12mio | Avg: 1.669 | Retail","• YP | 584 | 97.94mio | Avg: 1.677 | Mix
• PD | 257 | 41.17mio | Avg: 1.602 | Mix
• DX | 211 | 33.76mio | Avg: 1.600 | Bandar
• XC | 197 | 32.43mio | Avg: 1.646 | Retail
• LG | 14 | 2.37mio | Avg: 1.690 | Bandar",-7,"Buyer: Bandar 69%, Seller: Mix 67%"
MEDC,"• BB | 243.9k | 36.97bio | Avg: 1.516 | Mix
• IF | 200.5k | 30.61bio | Avg: 1.527 | Mix
• AZ | 161.0k | 23.93bio | Avg: 1.486 | Retail
• LG | 108.7k | 16.41bio | Avg: 1.510 | Bandar
• KK | 104.4k | 15.44bio | Avg: 1.479 | Bandar","• SQ | 495.1k | 76.73bio | Avg: 1.550 | Bandar
• AK | 265.5k | 38.69bio | Avg: 1.458 | Bandar
• YU | 121.8k | 19.46bio | Avg: 1.571 | Bandar
• DP | 100.0k | 16.19bio | Avg: 1.584 | Bandar
• KZ | 85.1k | 13.14bio | Avg: 1.544 | Mix",-248942,"Buyer: Mix 54%, Seller: Bandar 92%"
MEGA,"• CC | 61 | 19.53mio | Avg: 3.201 | Mix
• XC | 24 | 7.69mio | Avg: 3.204 | Retail","• NI | 93 | 29.80mio | Avg: 3.204 | Bandar
• AG | 40 | 12.80mio | Avg: 3.200 | Bandar
• PD | 7 | 2.33mio | Avg: 3.323 | Mix
• RF | 1 | 315.00k | Avg: 3.150 | Bandar",-56,"Buyer: Mix 72%, Seller: Bandar 95%"
